study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.840.113619.2.278.3.717616.286.1593493262.858,1.2.840.113619.2.278.3.717616.286.1593493262.956.4202498,Venous,OK,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,-1.5,1.6,7.0,8.4,8.5,,
1.2.840.113619.2.278.3.717616.286.1593493267.487,1.2.840.113619.2.278.3.717616.286.1593493267.603.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.5,1.9,2.2,4.2,4.2,,
1.2.840.113619.2.278.3.717616.286.1593493267.487,1.2.840.113619.2.278.3.717616.286.1593493267.603.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,2.8,1.2,0.8,0.9,2.8,,
1.2.840.113619.2.278.3.717616.286.1593493269.25,1.2.840.113619.2.278.3.717616.286.1593493269.109.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-7.1,0.7,3.0,4.1,8.8,,LARGE_CENTROID_DIST: IVC=20.7mm
1.2.840.113619.2.278.3.717616.286.1593493269.25,1.2.840.113619.2.278.3.717616.286.1593493269.109.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.2,1.7,3.4,4.0,6.1,,LARGE_CENTROID_DIST: IVC=16.5mm
1.2.840.113619.2.278.3.717616.286.1593493292.675,1.2.840.113619.2.278.3.717616.286.1593493292.775.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.7,1.0,1.1,1.3,4.7,,
1.2.840.113619.2.278.3.717616.286.1593493292.675,1.2.840.113619.2.278.3.717616.286.1593493292.775.4202498,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.2,1.1,1.0,1.7,2.4,,
1.2.840.113619.2.278.3.717616.286.1593493295.610,1.2.840.113619.2.278.3.717616.286.1593493295.769.4198401,Arterial,file_missing,,,,,,,,,,,,,,../ncct_cect/vindr_ds/aligned_volumes/1.2.840.113619.2.278.3.717616.286.1593493295.610/1.2.840.113619.2.278.3.717616.286.1593493295.610_1.2.840.113619.2.278.3.717616.286.1593493295.769.4198401_aligned_seg_reg.nii.gz,
1.2.840.113619.2.278.3.717616.286.1593493295.610,1.2.840.113619.2.278.3.717616.286.1593493295.769.4202498,Venous,BAD,6.0,5.0,5.0,2.0,1.0,1.0,1.0,True,2.8,0.0,1.8,1.8,5.1,,KABSCH_BONE_TOO_FEW
1.2.840.113619.2.278.3.717616.286.1593493295.610,1.2.840.113619.2.278.3.717616.286.1593493296.9.11,Arterial,BAD,6.0,12.0,6.0,3.0,1.0,1.0,1.0,True,-160.9,0.0,22.6,22.6,125.3,,BAD_Z_OFFSET=-160.9mm | LARGE_CENTROID_DIST: kidney_L=162.5mm | aorta=80.5mm | IVC=92.4mm | L2=175.7mm | L3=185.2mm | spinal_cord=55.2mm
1.2.840.113619.2.278.3.717616.286.1593493297.670,1.2.840.113619.2.278.3.717616.286.1593493297.767.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-7.2,0.5,0.9,1.4,8.2,,LARGE_CENTROID_DIST: gallbladder=18.1mm
1.2.840.113619.2.278.3.717616.286.1593493297.670,1.2.840.113619.2.278.3.717616.286.1593493297.767.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,7.2,2.2,1.3,3.3,6.7,,LARGE_CENTROID_DIST: gallbladder=21.9mm
1.2.840.113619.2.278.3.717616.286.1593493300.681,1.2.840.113619.2.278.3.717616.286.1593493300.771.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-14.7,4.0,4.4,7.8,18.8,,LARGE_CENTROID_DIST: liver=17.4mm | spleen=18.7mm | kidney_R=15.7mm | pancreas=43.9mm | IVC=44.7mm
1.2.840.113619.2.278.3.717616.286.1593493300.681,1.2.840.113619.2.278.3.717616.286.1593493300.771.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.0,4.1,4.6,6.9,8.3,,LARGE_CENTROID_DIST: pancreas=35.3mm | IVC=22.6mm
